Price,usable_area_sqft,bedroom,Bathroom,bathroom_ratio,balconies,Floor No,floors,floor_ratio,area_price_mean,city_price_mean,amenity_count,luxury_score,Facing,Maintenance Charges,isPrimeLocationProperty_Y
4350000.0,506.0,1,1.0,1.0,3.0,20.0,20.0,1.0,5983742.342391305,6608333.333333333,0,0,East,2500.0,True
2400000.0,385.0,1,1.0,1.0,2.0,4.0,4.0,1.0,5983742.342391305,11238531.74308094,0,0,East,2500.0,False
4000000.0,475.0,1,1.0,1.0,2.0,3.0,4.0,0.75,5983742.342391305,11238531.74308094,2,0,South - East,600.0,False
6300000.0,700.0,2,1.0,0.5,1.0,3.0,3.0,1.0,5983742.342391305,11238531.74308094,0,0,East,2500.0,False
7500000.0,990.0,2,2.0,1.0,2.0,12.0,13.0,0.9230769230769232,5983742.342391305,11238531.74308094,12,0,East,2500.0,False
3300000.0,500.0,1,1.0,1.0,2.0,6.0,8.0,0.75,5983742.342391305,11238531.74308094,10,0,East,2500.0,False
6800000.0,461.0,1,1.0,1.0,2.0,3.0,22.0,0.1363636363636363,5983742.342391305,11238531.74308094,9,0,East,2500.0,False
5500000.0,927.0,2,1.0,0.5,2.0,8.0,33.0,0.2424242424242424,5983742.342391305,11238531.74308094,21,0,East,2500.0,False
5500000.0,600.0,1,1.0,1.0,1.0,4.0,14.0,0.2857142857142857,5983742.342391305,11238531.74308094,20,0,East,2500.0,False
2700000.0,430.0,1,1.0,1.0,2.0,7.0,5.0,0.5333333333333333,5983742.342391305,11238531.74308094,90,5,East,2500.0,False
4500000.0,645.0,1,1.0,1.0,2.0,1.0,8.0,0.125,5983742.342391305,11238531.74308094,15,0,East,2500.0,False
7500000.0,675.0,2,2.0,1.0,2.0,5.0,22.0,0.2272727272727272,8000000.0,11238531.74308094,90,5,East,2500.0,False
3800000.0,607.0,1,1.0,1.0,2.0,9.0,15.0,0.6,5983742.342391305,11238531.74308094,8,0,East,2500.0,False
6500000.0,950.0,2,2.0,1.0,2.0,3.0,8.0,0.375,5983742.342391305,11238531.74308094,20,0,East,2500.0,False
6500000.0,1080.0,2,2.0,1.0,1.0,18.0,29.0,0.6206896551724138,5983742.342391305,11238531.74308094,25,1,East,2500.0,True
6900000.0,650.0,2,2.0,1.0,3.0,6.0,15.0,0.4,5983742.342391305,11238531.74308094,9,0,East,1500.0,True
6300000.0,927.0,2,1.0,0.5,1.0,2.0,18.0,0.1111111111111111,5983742.342391305,11238531.74308094,90,5,North - East,2500.0,True
13000000.0,885.0,3,3.0,1.0,2.0,15.0,23.0,0.6521739130434783,5983742.342391305,11238531.74308094,90,5,East,3500.0,True
2853100.0,383.0,1,1.0,1.0,1.0,4.0,7.0,0.5714285714285714,5983742.342391305,11238531.74308094,0,0,East,2500.0,True
3450000.0,420.0,1,2.0,2.0,2.0,5.0,15.0,0.3333333333333333,5983742.342391305,11238531.74308094,20,0,East,2500.0,True
3500000.0,400.0,1,1.0,1.0,1.0,5.0,14.0,0.3571428571428571,5983742.342391305,11238531.74308094,90,5,South - East,2500.0,True
20000000.0,1115.0,4,3.0,0.75,2.0,6.0,8.0,0.75,5983742.342391305,11238531.74308094,12,0,East,2500.0,True
7500000.0,1017.0,2,2.0,1.0,2.0,9.0,15.0,0.6,5983742.342391305,11238531.74308094,8,0,East,2500.0,True
5000000.0,750.0,2,2.0,1.0,2.0,7.0,3.0,0.5333333333333333,5983742.342391305,11238531.74308094,90,5,East,2500.0,True
6500000.0,850.0,2,2.0,1.0,2.0,6.0,8.0,0.75,5983742.342391305,11238531.74308094,90,5,West,2500.0,True
4000000.0,480.0,1,1.0,1.0,2.0,6.0,7.0,0.8571428571428571,5983742.342391305,11238531.74308094,21,0,East,2500.0,True
4800000.0,450.0,1,1.0,1.0,2.0,7.0,7.0,1.0,5983742.342391305,6608333.333333333,9,0,East,2300.0,True
4700000.0,694.0,1,1.0,1.0,2.0,7.0,7.0,1.0,5983742.342391305,11238531.74308094,89,5,North - West,2500.0,False
3600000.0,466.0,1,1.0,1.0,1.0,4.0,4.0,1.0,5983742.342391305,11238531.74308094,13,0,West,2500.0,True
5999999.0,1000.0,2,2.0,1.0,2.0,1.0,5.0,0.2,5983742.342391305,11238531.74308094,7,0,East,2500.0,True
12500000.0,1240.0,3,4.0,1.3333333333333333,4.0,5.0,7.0,0.7142857142857143,12500000.0,11238531.74308094,90,5,East,2500.0,True
5499000.0,491.0,1,2.0,2.0,2.0,15.0,15.0,1.0,5983742.342391305,11238531.74308094,12,0,East,1200.0,True
5000000.0,548.0,2,2.0,1.0,3.0,1.0,9.0,0.1111111111111111,5983742.342391305,11238531.74308094,89,5,East,1500.0,True
5200000.0,648.0,2,2.0,1.0,2.0,6.0,7.0,0.8571428571428571,5983742.342391305,11238531.74308094,89,5,East,2500.0,True
13500000.0,1063.0,3,2.0,0.6666666666666666,1.0,1.0,7.0,0.1428571428571428,5983742.342391305,11238531.74308094,3,0,North - East,2500.0,True
8500000.0,650.0,2,2.0,1.0,2.0,2.0,7.0,0.2857142857142857,5983742.342391305,11238531.74308094,4,0,East,2500.0,True
6000000.0,700.0,2,2.0,1.0,1.0,2.0,12.0,0.1666666666666666,5983742.342391305,11238531.74308094,89,5,North - West,1800.0,True
7800000.0,638.0,2,2.0,1.0,3.0,2.0,10.0,0.2,5983742.342391305,11238531.74308094,13,0,East,2500.0,True
5500000.0,612.0,2,1.0,0.5,1.0,13.0,24.0,0.5416666666666666,5983742.342391305,11238531.74308094,20,0,North - East,2500.0,True
3500000.0,450.0,1,2.0,2.0,3.0,5.0,15.0,0.3333333333333333,5983742.342391305,11238531.74308094,90,5,East,1200.0,True
3900000.0,450.0,1,2.0,2.0,3.0,10.0,23.0,0.4347826086956521,5983742.342391305,11238531.74308094,90,5,East,1500.0,True
3673500.0,408.0,1,2.0,2.0,1.0,19.0,26.0,0.7307692307692307,5983742.342391305,11238531.74308094,90,5,East,3.0,True
8820000.0,675.0,2,2.0,1.0,2.0,9.0,26.0,0.3461538461538461,5983742.342391305,11238531.74308094,89,5,East,2500.0,True
4569000.0,421.0,1,2.0,2.0,1.0,27.0,35.0,0.7714285714285715,5983742.342391305,11238531.74308094,90,5,North - East,2.0,True
3750000.0,405.0,1,1.0,1.0,3.0,16.0,24.0,0.6666666666666666,5983742.342391305,11238531.74308094,90,5,East,1500.0,True
5800000.0,670.0,2,2.0,1.0,2.0,5.0,9.0,0.5555555555555556,5983742.342391305,11238531.74308094,90,5,East,1800.0,True
4600000.0,425.0,1,1.0,1.0,2.0,2.0,7.0,0.2857142857142857,5983742.342391305,11238531.74308094,90,5,East,1500.0,True
5249000.0,502.0,2,2.0,1.0,1.0,15.0,22.0,0.6818181818181818,5983742.342391305,11238531.74308094,90,5,North - East,3.0,True
4440000.0,367.0,1,2.0,2.0,1.0,12.0,31.0,0.3870967741935484,5983742.342391305,11238531.74308094,90,5,North,7.0,True
3190000.0,370.0,1,2.0,2.0,3.0,10.0,30.0,0.3333333333333333,5983742.342391305,11238531.74308094,90,5,East,1200.0,True
3650000.0,423.0,1,2.0,2.0,3.0,8.0,17.0,0.4705882352941176,5983742.342391305,11238531.74308094,90,5,East,1800.0,True
4300000.0,650.0,1,1.0,1.0,1.0,7.0,7.0,1.0,5983742.342391305,11238531.74308094,89,5,East,2317.0,True
3990000.0,570.0,2,2.0,1.0,3.0,10.0,30.0,0.3333333333333333,5983742.342391305,11238531.74308094,90,5,East,1500.0,True
4000000.0,675.0,1,2.0,2.0,1.0,2.0,7.0,0.2857142857142857,5983742.342391305,11238531.74308094,7,0,East,1700.0,True
7000000.0,585.0,2,2.0,1.0,3.0,6.0,12.0,0.5,5983742.342391305,11238531.74308094,89,5,North - East,2.0,True
6000000.0,530.0,1,1.0,1.0,2.0,7.0,5.0,0.5333333333333333,5983742.342391305,11238531.74308094,90,5,North - East,700.0,True
8500000.0,675.0,2,2.0,1.0,2.0,26.0,31.0,0.8387096774193549,8000000.0,11238531.74308094,90,5,East,2000.0,True
4900000.0,483.0,1,2.0,2.0,2.0,5.0,10.0,0.5,5983742.342391305,11238531.74308094,90,5,East,1200.0,True
3800000.0,470.0,1,1.0,1.0,2.0,4.0,5.0,0.8,5983742.342391305,11238531.74308094,4,0,East,800.0,True
5600000.0,450.0,1,2.0,2.0,2.0,17.0,22.0,0.7727272727272727,5983742.342391305,11238531.74308094,89,5,North - East,2000.0,True
3800000.0,393.0,1,2.0,2.0,1.0,10.0,14.0,0.7142857142857143,5983742.342391305,11238531.74308094,89,5,East,1500.0,True
4500000.0,428.0,1,2.0,2.0,2.0,17.0,38.0,0.4473684210526316,5983742.342391305,11238531.74308094,90,5,East,2200.0,True
4650000.0,419.0,1,2.0,2.0,1.0,1.0,1.0,1.0,5983742.342391305,11238531.74308094,90,5,North - East,3.0,True
3990000.0,367.0,1,1.0,1.0,2.0,21.0,31.0,0.6774193548387096,5983742.342391305,11238531.74308094,90,5,North - East,3.0,True
6540000.0,658.0,2,2.0,1.0,2.0,8.0,26.0,0.3076923076923077,5983742.342391305,11238531.74308094,90,5,North,1200.0,True
8500000.0,696.0,2,2.0,1.0,2.0,15.0,36.0,0.4166666666666667,5983742.342391305,11238531.74308094,90,5,East,2500.0,True
6500000.0,620.0,2,2.0,1.0,2.0,7.0,23.0,0.3043478260869565,5983742.342391305,11238531.74308094,89,5,North - East,2500.0,True
4500000.0,446.0,1,2.0,2.0,1.0,11.0,21.0,0.5238095238095238,5983742.342391305,11238531.74308094,90,5,East,0.0,True
5499000.0,509.0,1,2.0,2.0,2.0,14.0,27.0,0.5185185185185185,5983742.342391305,11238531.74308094,90,5,North - East,0.0,True
